text,label,source
K.k:)when are you going?,0,sms_legacy
Ã neva tell me how i noe... I'm not at home in da aft wat... ,0,sms_legacy
"Dear customer, congratulations! You are the selected recipient of a reward. To claim your payment of ₹80,000, please provide your routing number to process the total. This deal is limited time.

Keywords: price money

Security Team,
Riley Kim",1,phishing
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: 48 hours, expires today, limited offer, expires midnight, 24 hours

IT Desk,
Avery Khan",1,phishing
"Hello, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: network admin, malware, bug, repair, problem, upgrade

IT Desk,
Sam Garcia",1,phishing
"Subject: Onboarding checklist

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Thanks for reviewing the document.

Best,
Avery Lee",0,phishing
Discussed with your mother ah?,0,sms_legacy
Anytime...,0,sms_legacy
"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",0,sms
"Dear user, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: charity gala, temporary loan, hotel asking

Regards,
Jordan Martinez",1,phishing
Total video converter free download type this in google search:),0,sms
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,0,sms_legacy
"Dear customer, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: temporary loan, but, emergency loan, hotel asking, transfer back

Compliance Team,
Avery Nguyen",1,phishing
"449050000301 You have won a å£2,000 price! To claim, call 09050000301.",1,sms
"Dear customer, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: business trip, businessman, transfer back, we talked, wallet stolen, money needed

Account Services,
Taylor Wong",1,phishing
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,0,sms_legacy
"Subject: Workshop recap

Thanks for attending the workshop. Here are links to references and the slide deck.

Appreciate your feedback on this draft.

Best,
Taylor Kim",0,phishing
"Dear customer, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: attachment, secret, alert, update

Support Desk,
Avery Singh",1,phishing
Well she's in for a big surprise!,0,sms
No let me do the math. Your not good at it.,0,sms
"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",0,sms
Will Ã¼ b going to esplanade fr home?,0,sms_legacy
Ok lor... Or u wan me go look 4 u?,0,sms
Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),0,sms
"Subject: Workshop recap

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Appreciate your feedback on this draft.

Best,
Avery Lee",0,phishing
"Subject: Meeting follow-up

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Thanks for reviewing the document.

Best,
Morgan Garcia",0,phishing
"Hello, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: unusual, stolen, replacement cards

Regards,
Jamie Khan",1,phishing
"Subject: Classroom logistics

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Morgan Brown",0,phishing
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,0,sms
"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",0,sms_legacy
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1,sms_legacy
